player_name,position,ath__athleticism_score,ath__athleticism_source,stature__height_inches,stature__weight_lbs,stature__wingspan_in,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,pass__minutes,pass__passer_rating,pass__passing_score,shoot__quality,usage__creation_score,portability__score,defense__crafted_dpm,playstyle__iso_freq,playstyle__pr_handler_freq,playstyle__pr_roll_freq,playstyle__post_freq,playstyle__spotup_freq,playstyle__handoff_freq,playstyle__cut_freq,playstyle__offscreen_freq
Branden Carlson,C,93.27,imputed,84,231.0,85.0,97,0.18556701,0.103092784,0.030927835,0.206185567,0.474226804,0.680412371,0.288659794,0.777777778,0.333333333,0.35,0.326086957,246,2.7,0.27,39.917142857142856,0.2820633191457869,6.3,0.9617647058823532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandin Podziemski,G,86.22,measured,76,205.0,77.5,629,0.160572337,0.220985692,0.12718601,0.087440382,0.39745628,0.484896661,0.381558029,0.663366337,0.4125,0.4,0.372,1716,6.5,0.65,58.3,0.3572308414976246,3.4,1.7,4.8,19.8,2.4,0.0,28.3,7.9,5.1,3.5
Brandon Boston,G,80.625,imputed,78,188.0,82.75,381,0.270341207,0.157480315,0.204724409,0.083989501,0.283464567,0.367454068,0.427821522,0.621359223,0.461538462,0.3125,0.361111111,0,0.0,0.0,59.91,0.0,5.0,-0.1460526315789473,7.9,22.3,2.3,0.0,0.0,4.7,3.6,3.6
Brandon Clarke,F,92.48,measured,80,215.0,80.25,380,0.492105263,0.421052632,0.042105263,0.036842105,0.007894737,0.044736842,0.913157895,0.807486631,0.5,0.071428571,0.0,1207,2.8,0.28,33.9,0.1821040464309232,1.1,1.4,0.0,0.0,14.8,0.0,11.0,0.0,28.9,0.0
Brandon Ingram,F,85.83,imputed,80,190.0,87.0,333,0.159159159,0.192192192,0.303303303,0.033033033,0.312312312,0.345345345,0.351351351,0.716981132,0.455445545,0.272727273,0.384615385,595,5.5,0.55,65.1,0.7058783975478605,5.7,-0.7,15.3,24.7,2.6,7.5,16.5,7.3,0.0,6.8
Brandon Miller,F,85.83,imputed,79,200.0,83.5,491,0.132382892,0.183299389,0.087576375,0.052953157,0.535641548,0.588594705,0.315682281,0.676923077,0.302325581,0.307692308,0.365019011,924,4.0,0.4,72.7,0.5506501292391899,5.8,-1.1,6.1,27.6,3.7,0.0,16.6,7.5,0.0,14.8
Brandon Williams,G,80.625,imputed,74,190.0,79.0,188,0.425531915,0.175531915,0.079787234,0.069148936,0.239361702,0.308510638,0.60106383,0.6375,0.533333333,0.461538462,0.4,487,6.0,0.6,59.91,0.5234004589650371,5.3,-0.1460526315789473,11.8,24.3,0.0,0.0,20.0,5.1,0.0,0.0
Braxton Key,F,85.83,imputed,80,225.0,85.0,4,0.25,0.25,0.25,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,56.07222222222222,0.0,5.0,0.1448598130841121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brice Sensabaugh,F,85.83,imputed,78,235.0,83.0,599,0.103505843,0.188647746,0.086811352,0.202003339,0.41736227,0.619365609,0.292153589,0.629032258,0.461538462,0.504132231,0.384,1432,2.8,0.28,78.3,0.3707857397063474,7.5,-2.5,5.6,14.7,2.9,0.0,29.5,7.9,2.4,7.9
Bronny James,G,89.5,measured,75,210.0,79.25,67,0.104477612,0.313432836,0.104477612,0.119402985,0.358208955,0.47761194,0.417910448,0.714285714,0.285714286,0.25,0.291666667,181,4.6,0.46,59.91,0.357341619161676,1.1,-0.1460526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brook Lopez,C,93.36,measured,85,282.0,89.5,774,0.257105943,0.180878553,0.080103359,0.050387597,0.431524548,0.481912145,0.437984496,0.778894472,0.451612903,0.564102564,0.350299401,2546,3.1,0.31,62.7,0.198727506632584,7.6,2.4,2.2,0.0,24.2,11.1,28.5,0.0,12.9,0.0
