player_name,position,ath__athleticism_score,ath__athleticism_source,stature__height_inches,stature__weight_lbs,stature__wingspan_in,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,pass__minutes,pass__passer_rating,pass__passing_score,shoot__quality
Collin Gillespie,G,73.94,measured,73,195,76,158,0.158227848,0.202531646,0.069620253,0.132911392,0.424050633,0.556962025,0.360759494,0.48,0.454545455,0.523809524,0.417910448,461,8.2,0.82,59.91
Damion Lee,G,84.81,imputed,77,210,80,74,0.108108108,0.297297297,0.094594595,0.175675676,0.324324324,0.5,0.405405405,0.625,0.142857143,0.307692308,0.208333333,144,2.6,0.26,59.91
Dariq Whitehead,G,84.81,imputed,78,220,82.25,96,0.104166667,0.083333333,0.03125,0.208333333,0.572916667,0.78125,0.1875,0.2,0,0.45,0.436363636,246,1.3,0.13,59.91
David Duke Jr.,G,83.21,measured,76,207,80,14,0.357142857,0.142857143,0.071428571,0.357142857,0.071428571,0.428571429,0.5,0.6,0,0.6,0,0,0,0,59.91
Devin Carter,G,89.51,measured,74,195,80.75,127,0.220472441,0.25984252,0.039370079,0.125984252,0.354330709,0.480314961,0.480314961,0.607142857,0.4,0.3125,0.288888889,396,5.3,0.53,59.91
Dru Smith,G,80.625,imputed,75,203,80,61,0.229508197,0.245901639,0.032786885,0.180327869,0.31147541,0.491803279,0.475409836,0.714285714,0,0.636363636,0.473684211,268,4.6,0.46,59.91
Elijah Harkless,G,80.625,imputed,78,195,82,35,0.114285714,0.142857143,0.028571429,0.228571429,0.485714286,0.714285714,0.257142857,0.75,0,0.375,0.235294118,138,3.9,0.39,59.91
Ethan Thompson,G,80.625,imputed,77,195,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.91
GG Jackson,G,88.55,measured,81,210,83.5,199,0.286432161,0.211055276,0.025125628,0.135678392,0.341708543,0.477386935,0.497487437,0.473684211,0.6,0.296296296,0.352941176,459,2,0.2,59.91
Garrett Temple,G,84.81,imputed,77,195,82,60,0.283333333,0.133333333,0.116666667,0.15,0.316666667,0.466666667,0.416666667,0.529411765,0.142857143,0.222222222,0.210526316,227,7.7,0.77,59.91
Isaiah Stevens,G,80.625,imputed,72,185,75,2,0,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,59.91
JD Davison,G,79.58,measured,73,195,78.5,34,0.176470588,0.176470588,0.117647059,0.088235294,0.441176471,0.529411765,0.352941176,0.666666667,0,0.333333333,0.2,0,0,0,59.91
Jack McVeigh,G,84.81,imputed,80,215,81,17,0.058823529,0.058823529,0.117647059,0.352941176,0.411764706,0.764705882,0.117647059,0,0.5,0.5,0.142857143,0,0,0,59.91
Jackson Rowe,G,85.83,imputed,79,210,82,17,0.235294118,0.176470588,0,0.235294118,0.352941176,0.588235294,0.411764706,0.75,0,0.5,0.166666667,0,0,0,59.91
Jaden Springer,G,91.75,measured,76,202,79.75,90,0.2,0.244444444,0.022222222,0.255555556,0.266666667,0.522222222,0.444444444,0.777777778,0.5,0.173913043,0.333333333,365,5,0.5,59.91
Jae Crowder,G,97.1,measured,78,235,81.25,22,0.045454545,0.136363636,0.136363636,0.363636364,0.318181818,0.681818182,0.181818182,1,0.666666667,0.25,0.285714286,0,0,0,59.91
Jalen Hood-Schifino,G,80.625,imputed,77,210,82.25,98,0.142857143,0.173469388,0.214285714,0.06122449,0.408163265,0.469387755,0.316326531,0.357142857,0.476190476,0.5,0.275,315,5.5,0.55,59.91
Jaylon Tyson,G,86.53,measured,78,215,80,149,0.342281879,0.208053691,0.060402685,0.181208054,0.208053691,0.389261745,0.55033557,0.549019608,0.333333333,0.333333333,0.35483871,453,4.6,0.46,59.91
Jesse Edwards,G,94.12,measured,84,230,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.91
Johnny Furphy,G,70.04,measured,80,200,80,92,0.336956522,0.097826087,0.02173913,0.239130435,0.304347826,0.543478261,0.434782609,0.548387097,0,0.363636364,0.25,379,2.9,0.29,59.91
Jordan McLaughlin,G,80.625,imputed,71,185,76.5,72,0.138888889,0.138888889,0.083333333,0.180555556,0.444444444,0.625,0.277777778,0.6,0.5,0.230769231,0.5,314,8.4,0.84,59.91
Jordan Miller,G,83.17,measured,77,194,83.75,134,0.432835821,0.246268657,0.037313433,0.097014925,0.186567164,0.28358209,0.679104478,0.568965517,0.2,0.153846154,0.24,420,3.6,0.36,59.91
Jordan Walsh,G,89.27,measured,78,205,85.75,83,0.21686747,0.120481928,0,0.289156627,0.373493976,0.662650602,0.337349398,0.666666667,0,0.25,0.290322581,403,2.5,0.25,59.91
Josh Christopher,G,85.56,measured,76,215,81.25,31,0.419354839,0.193548387,0.032258065,0.064516129,0.290322581,0.35483871,0.612903226,0.538461538,0,0,0.222222222,0,0,0,59.91
Josh Minott,G,85.83,imputed,80,205,83.75,90,0.433333333,0.077777778,0.011111111,0.288888889,0.188888889,0.477777778,0.511111111,0.641025641,0,0.346153846,0.294117647,276,3.5,0.35,59.91
Kevin Knox II,G,85.83,imputed,79,215,83,36,0.277777778,0.222222222,0.083333333,0.166666667,0.25,0.416666667,0.5,0.7,0.333333333,0.166666667,0.333333333,0,0,0,59.91
Kobe Bufkin,G,76.07,measured,76,195,79.75,47,0.29787234,0.212765957,0.085106383,0.127659574,0.255319149,0.382978723,0.510638298,0.5,0.25,0.166666667,0.25,124,5.8,0.58,59.91
Lamar Stevens,G,102.01,measured,79,230,81,63,0.301587302,0.206349206,0.063492063,0.158730159,0.253968254,0.412698413,0.507936508,0.526315789,0.75,0.2,0.375,155,1.3,0.13,59.91
Lester Quinones,G,80.625,imputed,77,208,79,78,0.256410256,0.115384615,0.064102564,0.08974359,0.474358974,0.564102564,0.371794872,0.75,0,0.285714286,0.297297297,183,5.5,0.55,59.91
