player_name,ath__athleticism_score,stature__height_inches,stature__weight_lbs,stature__wingspan_in,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,pass__minutes,pass__passer_rating,pass__passing_score,shoot__quality,usage__creation_score,portability__score,defense__crafted_dpm,playstyle__iso_freq,playstyle__pr_handler_freq,playstyle__pr_roll_freq,playstyle__post_freq,playstyle__spotup_freq,playstyle__handoff_freq,playstyle__cut_freq,playstyle__offscreen_freq,dominance__cpm,position,ath__athleticism_source,pca1,pca2,pca3,cluster_k9,umap1,umap2,size_score,playstyle_variety,playstyle_variety_raw,playstyle_variety_score,size_height_pct,size_wing_pct,shooting_score,creation_score,passing_score,defense_score,portability_score,unicorn_score,unicorn_percentile,is_unicorn,dominance_score,stature__height_inches_pct,stature__wingspan_in_pct,shoot__quality_pct,usage__creation_score_pct,pass__passer_rating_pct,defense__crafted_dpm_pct,portability__score_pct,dominance__cpm_pct,playstyle_variety_pct,name_key,usg_pct,offensive_load,box_creation
Tosan Evbuomwan,85.83,80,219,83.0,220,0.290909091,0.295454545,0.063636364,0.154545455,0.195454545,0.35,0.586363636,0.671875,0.357142857,0.294117647,0.325581395,665,3.7,0.37,50.7,0.298795911,1.8,0.0,6.5,7.8,0.0,0.0,0.0,7.2,7.2,0.0,-1.9,F,imputed,0.918557278,-0.027397858,-1.581680212,2,20.01493,-8.72974,0.623595506,4,4,0.671348315,0.675093633,0.572097378,0.237827715,0.58988764,0.31741573,0.475655431,0.18258427,0.420926966,0.294007491,False,0.110486891,0.675093633,0.572097378,0.237827715,0.58988764,0.31741573,0.475655431,0.18258427,0.110486891,0.671348315,Tosan Evbuomwan,19.1,28.1,2.8
Alex Ducas,80.625,78,220,81.0,30,0.133333333,0.1,0.066666667,0.3,0.4,0.7,0.233333333,0.25,0.5,0.555555556,0.416666667,125,1.8,0.18,59.91,0.078690509,3.4,-0.146052632,5.752131783,19.4505814,2.540697674,0.913953488,25.48837209,5.338953488,3.997093023,3.2875,-0.125,G,imputed,-2.12677595,-3.458116885,0.226268789,2,20.774193,-9.991747,0.397003745,4,4,0.671348315,0.443820225,0.350187266,0.620786517,0.146067416,0.063670412,0.36423221,0.338951311,0.33178839,0.061797753,False,0.43071161,0.443820225,0.350187266,0.620786517,0.146067416,0.063670412,0.36423221,0.338951311,0.43071161,0.671348315,Alex Ducas,11.8,15.4,0.3
Bol Bol,89.695,87,220,91.0,183,0.114754098,0.169398907,0.207650273,0.278688525,0.229508197,0.508196721,0.284153005,0.80952381,0.657894737,0.352941176,0.333333333,448,2.0,0.2,47.86923077,0.317148947,6.1,1.307692308,0.0,0.0,5.6,0.0,46.5,0.0,11.2,0.0,0.858333333,C-F,imputed,1.588263307,-2.391913839,3.464586576,4,14.947145,-10.151504,0.994850187,3,3,0.326779026,0.996254682,0.993445693,0.187265918,0.631086142,0.074906367,0.850187266,0.691947566,0.605009363,0.784644195,False,0.759363296,0.996254682,0.993445693,0.187265918,0.631086142,0.074906367,0.850187266,0.691947566,0.759363296,0.326779026,Bol Bol,21.1,27.6,2.7
Buddy Hield,80.625,76,220,81.25,786,0.142493639,0.091603053,0.067430025,0.171755725,0.525445293,0.697201018,0.234096692,0.651785714,0.339622642,0.385185185,0.365617433,1863,2.9,0.29,70.5,0.331257825,7.3,-0.7,2.3,6.0,1.7,0.0,27.2,8.3,3.3,18.9,-0.8,G,imputed,-3.694256427,-1.243784913,2.688644457,1,16.525875,-11.747803,0.299625468,4,4,0.671348315,0.212546816,0.38670412,0.898876404,0.653558052,0.194756554,0.188202247,0.812734082,0.443913858,0.374531835,False,0.274344569,0.212546816,0.38670412,0.898876404,0.653558052,0.194756554,0.188202247,0.812734082,0.274344569,0.671348315,Buddy Hield,20.5,29.6,3.1
Cade Cunningham,80.625,78,220,84.25,1457,0.249828415,0.331503089,0.131091283,0.014413178,0.270418668,0.284831846,0.581331503,0.568681319,0.45026178,0.380952381,0.360406091,2452,8.3,0.83,67.4,0.965489935,8.1,-0.7,11.1,40.7,0.0,5.5,6.7,10.4,1.1,1.3,1.6,G,imputed,-2.439099424,6.900452708,0.178855453,7,15.8962,-7.193381,0.570692884,5,5,0.905430712,0.443820225,0.697565543,0.859550562,0.996254682,0.959737828,0.188202247,0.869850187,0.778698502,0.966292135,True,0.852059925,0.443820225,0.697565543,0.859550562,0.996254682,0.959737828,0.188202247,0.869850187,0.852059925,0.905430712,Cade Cunningham,33.2,64.6,15.2
Christian Braun,92.15,78,220,78.5,821,0.521315469,0.158343484,0.047503045,0.090133983,0.181485993,0.271619976,0.679658952,0.714953271,0.41025641,0.351351351,0.422818792,2675,4.5,0.45,63.0,0.240627779,5.6,0.1,1.8,6.8,3.7,0.0,23.0,4.5,13.5,0.0,0.8,C,measured,0.721288177,1.207905494,0.994676799,2,15.623821,-8.856186,0.286516854,3,3,0.326779026,0.443820225,0.129213483,0.77340824,0.462546816,0.507490637,0.505617978,0.61423221,0.512687266,0.617041199,False,0.745318352,0.443820225,0.129213483,0.77340824,0.462546816,0.507490637,0.505617978,0.61423221,0.745318352,0.326779026,Christian Braun,15.8,25.0,2.8
Dariq Whitehead,84.81,78,220,82.25,96,0.104166667,0.083333333,0.03125,0.208333333,0.572916667,0.78125,0.1875,0.2,0.0,0.45,0.436363636,246,1.3,0.13,59.91,0.286948417,2.9,-0.146052632,0.0,0.0,0.0,0.0,38.9,9.7,0.0,0.0,-0.125,G,imputed,-2.27927506,-4.396303862,0.619541872,1,20.86728,-9.955923,0.473782772,2,2,0.093632959,0.443820225,0.503745318,0.620786517,0.554307116,0.027153558,0.36423221,0.291198502,0.392041199,0.202247191,False,0.43071161,0.443820225,0.503745318,0.620786517,0.554307116,0.027153558,0.36423221,0.291198502,0.43071161,0.093632959,Dariq Whitehead,20.1,25.7,2.4
DeMar DeRozan,83.39,78,220,81.0,1308,0.092507645,0.222477064,0.489296636,0.064984709,0.126146789,0.191131498,0.314984709,0.719008264,0.4578125,0.364705882,0.321212121,2768,5.7,0.57,61.9,0.518099413,5.3,-1.0,16.2,24.5,0.0,14.3,17.5,9.2,2.8,3.1,0.7,C,measured,-2.333996436,5.985811899,1.149230758,7,15.540476,-7.5950036,0.397003745,5,5,0.905430712,0.443820225,0.350187266,0.732209738,0.859550562,0.742509363,0.134831461,0.576779026,0.633333333,0.835205993,False,0.732209738,0.443820225,0.350187266,0.732209738,0.859550562,0.742509363,0.134831461,0.576779026,0.732209738,0.905430712,DeMar DeRozan,25.0,41.2,5.9
Dorian Finney-Smith,91.11,79,220,83.75,435,0.206896552,0.064367816,0.006896552,0.287356322,0.432183908,0.71954023,0.271264368,0.611111111,0.666666667,0.432,0.39893617,1818,3.0,0.3,55.3,0.106171598,5.8,1.5,0.0,0.0,9.95,0.0,41.2,0.0,5.25,0.0,0.9,F,measured,-0.26901559,-2.921801595,3.482484076,4,15.101423,-10.301213,0.605337079,3,3,0.326779026,0.56741573,0.643258427,0.346441948,0.187265918,0.215355805,0.878277154,0.645131086,0.479868914,0.5,False,0.786516854,0.56741573,0.643258427,0.346441948,0.187265918,0.215355805,0.878277154,0.645131086,0.786516854,0.326779026,Dorian Finney-Smith,12.3,17.1,0.8
Franz Wagner,85.83,82,220,83.5,1161,0.284237726,0.320413437,0.092161929,0.037037037,0.263565891,0.300602929,0.604651163,0.666666667,0.411214953,0.441860465,0.277777778,2023,5.7,0.57,64.7,0.687679842,6.2,1.0,12.6,26.8,2.4,6.4,14.9,5.2,7.2,2.3,3.1,F,imputed,-0.095544692,4.725401298,1.346676064,7,14.895604,-7.727768,0.737827715,6,6,0.985018727,0.850187266,0.625468165,0.812734082,0.95505618,0.742509363,0.807116105,0.707865169,0.83843633,0.994382022,True,0.945692884,0.850187266,0.625468165,0.812734082,0.95505618,0.742509363,0.807116105,0.707865169,0.945692884,0.985018727,Franz Wagner,31.0,50.0,7.9
