player_id,player_name,team,position,height_raw,weight_raw,height_inches,weight_lbs
201587,Nicolas Batum,Clippers,Guard-Forward,6-7,230,79,230.0
1641878,Damion Baugh,Suns,Guard,6-4,194,76,194.0
203078,Bradley Beal,Clippers,Guard,6-4,207,76,207.0
1627736,Malik Beasley,Pistons,Guard,6-4,187,76,187.0
1630699,MarJon Beauchamp,Knicks,Forward,6-7,199,79,199.0
1641736,Reece Beekman,Magic,Guard,6-3,190,75,190.0
1629048,Goga Bitadze,Magic,Center-Forward,6-10,250,82,250.0
202687,Bismack Biyombo,Spurs,Center,6-8,255,80,255.0
1641710,Anthony Black,Magic,Guard,6-7,200,79,200.0
203992,Bogdan Bogdanović,Clippers,Guard,6-5,225,77,225.0
1629626,Bol Bol,Suns,Center-Forward,7-3,220,87,220.0
1641737,Adem Bona,76ers,Forward,6-10,235,82,235.0
1626164,Devin Booker,Suns,Guard,6-5,206,77,206.0
1630527,Brandon Boston,Pelicans,Guard,6-6,188,78,188.0
1628449,Chris Boucher,Celtics,Forward,6-9,200,81,200.0
1631123,Jamaree Bouyea,Bucks,Guard,6-2,180,74,180.0
1628396,Tony Bradley,Pacers,Center-Forward,6-10,248,82,248.0
1631103,Malaki Branham,Wizards,Forward,6-4,180,76,180.0
1631128,Christian Braun,Nuggets,Guard,6-6,220,78,220.0
1641779,Jalen Bridges,Celtics,Forward,6-8,225,80,225.0
1628969,Mikal Bridges,Knicks,Guard-Forward,6-6,209,78,209.0
1628970,Miles Bridges,Hornets,Forward,6-7,225,79,225.0
1629052,Oshae Brissett,,Forward-Guard,6-7,210,79,210.0
1627763,Malcolm Brogdon,Knicks,Guard,6-5,229,77,229.0
1628415,Dillon Brooks,Suns,Guard-Forward,6-7,225,79,225.0
1631232,Keion Brooks Jr.,Pelicans,Forward,6-7,210,79,210.0
1628971,Bruce Brown,Nuggets,Guard-Forward,6-4,202,76,202.0
1627759,Jaylen Brown,Celtics,Guard-Forward,6-6,223,78,223.0
