#,Player,CraftedDPM
323,Jaylen Wells,-1.2
324,Amir Coffey,-1.2
325,Jamal Shead,-1.2
326,Tim Hardaway Jr.,-1.3
327,KJ Simpson,-1.3
328,AJ Johnson,-1.3
329,Jeremiah Robinson-Earl,-1.3
330,Devin Vassell,-1.3
331,Terance Mann,-1.4
332,Georges Niang,-1.5
333,Bennedict Mathurin,-1.5
334,RJ Barrett,-1.5
335,Bradley Beal,-1.5
336,Isaiah Collier,-1.5
337,Antonio Reeves,-1.5
338,Jamison Battle,-1.5
339,Rob Dillingham,-1.5
340,Gary Trent Jr.,-1.6
341,Jalen Brunson,-1.6
342,Harrison Barnes,-1.6
343,Johnny Juzang,-1.6
344,Zach LaVine,-1.6
345,Jalen Green,-1.7
346,Jaden Ivey,-1.7
347,Klay Thompson,-1.7
348,Scoot Henderson,-1.7
349,Tyrese Maxey,-1.7
350,Gradey Dick,-1.7
351,LaMelo Ball,-1.7
352,Julian Strawther,-1.7
353,Jordan Poole,-1.8
354,Jared McCain,-1.8
355,Nick Smith Jr.,-1.8
356,CJ McCollum,-1.8
357,Coby White,-1.9
358,Tyus Jones,-1.9
359,Zaccharie Risacher,-1.9
360,Stephon Castle,-1.9
361,Shaedon Sharpe,-1.9
362,Jaden Hardy,-2
363,Keldon Johnson,-2.1
364,Justin Edwards,-2.1
365,Devin Booker,-2.1
366,Dalton Knecht,-2.2
367,Anfernee Simons,-2.4
368,Brice Sensabaugh,-2.5
369,Jordan Hawkins,-2.5
370,Jordan Clarkson,-2.5
371,Corey Kispert,-2.6
372,Trae Young,-2.6
373,Collin Sexton,-2.8
374,Cam Thomas,-2.9
375,Keyonte George,-3.3
