PLAYER,TEAM,PRRollmanFreq%,PRRollmanPercentile
Julius Randle,MIN,7.7,50
Justin Champagnie,WAS,2,98.2
Jusuf Nurkić,PHX,24.9,20.1
Jusuf Nurkić,CHA,17.7,53.8
KJ Martin,PHI,9.6,89.7
Karl-Anthony Towns,NYK,12.6,79.1
Karlo Matković,NOP,20.8,68
Keegan Murray,SAC,1.8,5.4
Kel'el Ware,MIA,24,73.7
Keldon Johnson,SAS,2.6,65.9
Kelly Olynyk,TOR,15.6,61.4
Kelly Oubre Jr.,PHI,1.5,92.8
Kenrich Williams,OKC,6.9,39.6
Kentavious Caldwell-Pope,ORL,4.4,59.1
Keon Ellis,SAC,2.5,59.1
Kessler Edwards,DAL,7,34.3
Kevin Durant,PHX,4.5,69.1
Kevin Huerter,CHI,3.6,34.3
Kevin Love,MIA,10,16.7
Kevon Looney,GSW,12.5,39.9
Keyonte George,UTA,1.1,6.1
Klay Thompson,DAL,2.8,83.1
Kris Dunn,LAC,4.2,10.4
Kristaps Porziņģis,BOS,21.6,81.3
Kyle Anderson,MIA,10.6,43.2
Kyle Filipowski,UTA,9.7,24.1
Kyle Kuzma,WAS,1.9,97.5
Kyle Kuzma,MIL,2.5,9.7
Kyrie Irving,DAL,1.4,5.4
Larry Nance Jr.,ATL,15.8,52.5
Lauri Markkanen,UTA,11.8,31.3
LeBron James,LAL,3.1,32
Luguentz Dort,OKC,3.9,70.5
Luke Kennard,MEM,2.9,89.7
Luke Kornet,BOS,18.1,87.8
Malik Beasley,DET,3.2,37.8
Malik Monk,SAC,1.4,18.5
Mark Williams,CHA,28.8,50.7
Mason Plumlee,PHX,20.9,79.5
Matas Buzelis,CHI,2.4,96.7
Max Christie,LAL,4.4,96.7
Max Strus,CLE,5.7,99.3
Maxi Kleber,DAL,12.5,27.3
Micah Potter,UTA,12,21.7
Michael Porter Jr.,DEN,2.2,61.4
Mikal Bridges,NYK,2.4,75.1
Miles Bridges,CHA,4.1,60.4
Mo Bamba,LAC,28,23.1
Moritz Wagner,ORL,20.5,26.3
