,Year,Player,HEIGHT,WEIGHT,POSITION,bSPARQ,NBA %
1077,2006,Mardy Collins,6' 4.25'',224,COMBO G,92.77,95.20%
1078,2006,Matt Haryasz,6' 9.75'',219,BIG,82.31,17.50%
1079,2006,Maurice Ager,6' 3.25'',203,COMBO G,81.94,60.90%
1080,2006,Michael Southhall,6' 9.5'',241,BIG,98.15,87.00%
1081,2006,Morris Almond,6' 4.75'',214,WING,88.47,73.70%
1082,2006,Mouhamed Sene,6' 11'',237,BIG,89.67,50.80%
1083,2006,Nick George,6' 4'',201,WING,83.34,48.10%
1084,2006,Nik Caner-Medley,6' 6.5'',234,WING,88.98,75.80%
1085,2006,Patrick O'Bryant,6' 11'',249,BIG,88.27,43.60%
1086,2006,Paul Miller,6' 8.5'',251,BIG,95.14,76.80%
1087,2006,Paul Millsap,6' 6.25'',258,BIG,96.01,80.10%
1088,2006,Pops Mensah-Bonsu,6' 7.5'',232,BIG,95.33,77.60%
1089,2006,Randy Foye,6' 2.25'',212,COMBO G,89.96,90.40%
1090,2006,Rashad Anderson,6' 3.25'',224,WING,83.78,50.40%
1091,2006,Renaldo Balkman,6' 5.25'',206,COMBO F,84.85,36.80%
1092,2006,Rodney Carney,6' 4.5'',204,WING,87.31,68.40%
1093,2006,Ronnie Brewer,6' 5.75'',223,COMBO G,100.23,99.60%
1094,2006,Rudy Gay,6' 7'',222,COMBO F,95.46,86.90%
1095,2006,Sean Dockery,6' 0.75'',182,COMBO G,74.65,25.50%
1096,2006,Shawne Williams,6' 7.25'',227,COMBO F,94.65,84.40%
1097,2006,Shelden Williams,6' 7.5'',258,BIG,97.23,84.20%
1098,2006,Solomon Jones,6' 8.5'',224,BIG,93.81,71.20%
1099,2006,Steve Novak,6' 8'',216,WING,75.03,12.50%
1100,2006,Steven Smith,6' 7.5'',238,COMBO F,92.43,76.00%
1101,2006,Taj Gray,6' 7.25'',231,COMBO F,88.02,53.90%
1102,2006,Taquan Dean,6' 2'',183,COMBO G,77.66,39.30%
1103,2006,Tarence Kinsey,6' 4.75'',179,WING,73.73,9.30%
1104,2006,Tedric Hill,6' 7.75'',236,COMBO F,93.1,78.70%
1105,2006,Terence Dials,6' 7.75'',253,BIG,89.45,49.70%
1106,2006,Torin Francis,6' 9'',247,BIG,87.77,41.00%
1107,2006,Tyrus Thomas,6' 7.25'',217,COMBO F,95.87,88.00%
1108,2006,Viktor Keyru,6' 5.25'',202,COMBO G,80.61,54.30%
1109,2006,Will Blalock,5' 11.25'',194,PG,89.93,98.20%
1110,2006,Yemi Nicholson,6' 7.75'',258,BIG,90.73,56.30%
1111,2005,Aaron Miles,6' 0'',174.6,PG,77.68,56.30%
1112,2005,Alan Anderson,6' 4.5'',223.2,WING,81.32,37.60%
1113,2005,Alex Acker,6' 3.75'',183,WING,73.04,7.80%
1114,2005,Andrew Bogut,6' 11'',250.6,BIG,91.27,59.00%
1115,2005,Anthony Roberson,6' 0.75'',178.8,PG,78.22,59.60%
1116,2005,Antoine Wright,6' 5.25'',202.6,WING,75.69,14.40%
1117,2005,Bracey Wright,6' 1.25'',186.8,COMBO G,77.93,40.60%
1118,2005,Brandon Rush,6' 5'',211.4,WING,90.78,82.60%
1119,2005,Carl Krauser,5' 11.5'',193.4,COMBO G,72.3,16.90%
1120,2005,Carlos Powell,6' 5.25'',221.8,COMBO F,83.18,28.50%
1121,2005,Channing Frye,6' 9.5'',243.6,BIG,89.29,48.90%
1122,2005,Charles Hayes,6' 5.5'',232.4,COMBO F,91.97,73.90%
1123,2005,Charlie Villanueva,6' 9'',236.6,COMBO F,83.81,31.50%
1124,2005,Chris Paul,5' 11.75'',178,PG,78.83,63.30%
1125,2005,Chris Taft,6' 8.5'',261,BIG,96.87,83.10%
1126,2005,Chris Thomas,5' 11.75'',176.2,PG,72.1,23.40%
1127,2005,D'Or Fischer,6' 9.25'',242.4,BIG,90.09,53.00%
1128,2005,Danny Granger,6' 7.5'',225.4,WING,91.93,86.30%
1129,2005,Daryl Dorsey,5' 11.25'',160.8,PG,61.95,1.00%
1130,2005,David Lee,6' 7.75'',229.5,BIG,92.16,63.50%
1131,2005,David Simon,6' 8'',258.8,BIG,94.94,76.00%
1132,2005,Deji Akindele,6' 9.5'',236.4,BIG,94.31,73.40%
1133,2005,Deng Gai,6' 7.75'',214,BIG,89.43,49.60%
1134,2005,Deron Williams,6' 1.75'',202.4,PG,82.77,83.30%
1135,2005,Drago Pasalic,6' 9.5'',238.8,COMBO F,82,23.20%
1136,2005,Dwayne Jones,6' 8.5'',242.2,BIG,90.08,53.00%
1137,2005,Eddie Basden,6' 4.25'',210,WING,91.33,84.50%
1138,2005,Eddy Fobbs,6' 10.25'',235.2,BIG,91.6,60.70%
1139,2005,Ellis Myles,6' 6'',255.2,BIG,88.78,46.20%
1140,2005,Ersan Ilyasova,6' 7.75'',208.8,WING,68.03,1.90%
1141,2005,Francisco Garcia,6' 5.75'',189.6,WING,73.95,9.80%
1142,2005,Gerald Green,6' 6'',192,WING,82.41,43.20%
1143,2005,Ike Diogu,6' 6.5'',255.4,BIG,93.95,71.80%
1144,2005,Ivan McFarlin,6' 5.5'',228.6,BIG,82.86,19.40%
1145,2005,Jarrett Jack,6' 2.5'',197.6,PG,73.35,29.90%
1146,2005,Jason Klotz,6' 8.5'',249.4,BIG,75.98,3.90%
1147,2005,Jawad Williams,6' 7'',218,WING,83.19,47.30%
1148,2005,Joey Graham,6' 5.25'',216.6,WING,87.15,67.60%
1149,2005,John Gilchrist,6' 1.25'',195.2,PG,81.52,77.90%
1150,2005,John Lucas III,5' 9.25'',154.4,PG,66.49,5.30%
