PLAYER,TEAM,PRHandlerFreq%,PRHandlerPercentile
Elfrid Payton,NOP,51.6,5.7
Elfrid Payton,CHA,42.9,0.3
Eric Gordon,PHI,6.6,11.9
Evan Mobley,CLE,9.5,32.3
Franz Wagner,ORL,26.8,71.8
Fred VanVleet,HOU,36.4,53.1
GG Jackson,MEM,7.3,8.4
Gabe Vincent,LAL,15.9,18.4
Garrison Mathews,ATL,3.5,0.9
Gary Trent Jr.,MIL,11.8,84.6
Georges Niang,CLE,2.7,40.1
Giannis Antetokounmpo,MIL,11.4,82.6
Gradey Dick,TOR,8.6,19.3
Grayson Allen,PHX,9.4,14.5
Harrison Barnes,SAS,3.6,88.1
Herbert Jones,NOP,8.4,46.6
Immanuel Quickley,TOR,27.9,73
Isaiah Collier,UTA,26.6,10.4
Isaiah Joe,OKC,4.8,11.6
Isaiah Wong,CHA,27.3,86.9
Ja Morant,MEM,28.5,44.8
Ja'Kobe Walter,TOR,13.4,23.7
Jabari Smith Jr.,HOU,2.9,5.7
Jaden Hardy,DAL,24.8,66.6
Jaden Ivey,DET,26.4,42.7
Jaden McDaniels,MIN,8.3,82.6
Jaime Jaquez Jr.,MIA,17.6,30.9
Jake LaRavia,MEM,3.1,2.1
Jalen Brunson,NYK,39.4,88.4
Jalen Duren,DET,2.5,98.8
Jalen Green,HOU,42.8,67.4
Jalen Hood-Schifino,PHI,29.3,44
Jalen Johnson,ATL,14.2,28.7
Jalen Pickett,DEN,19.9,98.2
Jalen Suggs,ORL,32.1,64.1
Jalen Williams,OKC,34.5,54.3
Jalen Wilson,BKN,7.7,14.8
Jamal Cain,NOP,5.4,100
Jamal Murray,DEN,34,79.8
Jamal Shead,TOR,29.3,26.1
James Harden,LAC,27,46.9
Jamison Battle,TOR,3.7,68.8
Jarace Walker,IND,15.8,56.4
Jared Butler,WAS,43.6,57.9
Jared Butler,PHI,35.1,12.8
Jared McCain,PHI,29.8,51
Jaren Jackson Jr.,MEM,4.3,13.7
Jaylen Brown,BOS,17.4,51.6
Jaylen Martin,WAS,17,35.3
Jaylen Nowell,NOP,27.9,13.7
Jaylen Wells,MEM,3.4,96.7
Jayson Tatum,BOS,28.6,73.9
Jeff Dowtin Jr.,PHI,30.6,94
Jerami Grant,POR,8.6,49.3
Jeremiah Robinson-Earl,NOP,3.1,3.3
Jeremy Sochan,SAS,4.3,82.6
Jett Howard,ORL,11.4,16.3
Jimmy Butler III,MIA,23.2,95
Jimmy Butler III,GSW,16,47.8
John Collins,UTA,1.4,98.5
Johnny Juzang,UTA,8.3,89.9
Jonathan Kuminga,GSW,19.4,34.1
Jonathan Mogbo,TOR,3,0
Jordan Clarkson,UTA,25.7,57.6
Jordan Goodwin,LAL,10.6,15.7
Jordan Hawkins,NOP,14.8,85.5
Jordan Miller,LAC,11.3,72.1
Jordan Poole,WAS,30.7,76.9
Jose Alvarado,NOP,34.2,36.9
Josh Giddey,CHI,26.1,42.1
Josh Green,CHA,7.5,5.1
Josh Hart,NYK,6.5,77.7
Josh Okogie,CHA,10.2,20.2
Jrue Holiday,BOS,12.1,62
Julian Champagnie,SAS,3.2,7.7
Julian Strawther,DEN,10.4,32.6
Julius Randle,MIN,7.5,85.8
Justin Champagnie,WAS,6.2,45.4
Justin Edwards,PHI,10.7,97
KJ Simpson,CHA,32,12.5
Karl-Anthony Towns,NYK,3.1,26.9
Kawhi Leonard,LAC,21.4,69.1
Keaton Wallace,ATL,27.5,35.3
Keegan Murray,SAC,3.6,82.6
Keldon Johnson,SAS,7.8,89
Kelly Olynyk,TOR,8.7,13.7
Kelly Olynyk,NOP,7.2,9.6
Kelly Oubre Jr.,PHI,15.1,53.7
Kenrich Williams,OKC,8.8,90.8
