player_name,team,position,height_in,wingspan_in,length_in
Jordan Nwora,,PF,77.75,82.25,4.5
Jalen Johnson,ATL,PF,79.75,84.25,4.5
Chimezie Metu,,C,80.0,84.5,4.5
Tobias Harris,DET,PF,78.5,83.0,4.5
Dariq Whitehead,BKN,SG,77.75,82.25,4.5
De'Aaron Fox,SAS,PG,74.0,78.5,4.5
Paul Reed,DET,PF,81.0,85.5,4.5
Patrick Baldwin Jr.,LAC,PF,81.25,85.75,4.5
Dyson Daniels,ATL,SG,78.0,82.5,4.5
Gary Trent Jr.,MIL,SG,76.25,80.75,4.5
Nic Claxton,BKN,C,82.0,86.5,4.5
Luka Dončić,LAL,SF,78.5,83.0,4.5
Jae Crowder,,PF,76.75,81.25,4.5
Terquavion Smith,,SG,74.5,78.75,4.25
Taylor Hendricks,UTA,PF,80.25,84.5,4.25
DaRon Holmes II,DEN,C,80.75,85.0,4.25
Jonathan Kuminga,GSW,SF,79.0,83.25,4.25
Ronald Holland II,DET,SG,78.5,82.75,4.25
Sidy Cissoko,POR,SF,77.5,81.75,4.25
Johnny Davis,,SG,76.25,80.5,4.25
Sandro Mamukelashvili,TOR,PF,81.0,85.25,4.25
Davion Mitchell,MIA,PG,72.0,76.25,4.25
Isaiah Wong,,SG,74.5,78.75,4.25
Derrick White,BOS,SG,75.25,79.5,4.25
AJ Johnson,WAS,SG,76.25,80.5,4.25
John Tonje,UTA,SG,76.75,81.0,4.25
Aaron Gordon,DEN,PF,79.5,83.75,4.25
Grayson Allen,PHX,SG,75.0,79.25,4.25
Caris LeVert,DET,SF,77.75,82.0,4.25
Kessler Edwards,,SF,79.0,83.25,4.25
Harrison Barnes,SAS,PF,79.0,83.25,4.25
Cooper Flagg,DAL,SF,79.75,84.0,4.25
Julius Randle,MIN,PF,79.75,84.0,4.25
Gary Harris,MIL,SG,74.5,78.75,4.25
Kira Lewis Jr.,,PG,72.75,77.0,4.25
Josh Minott,BOS,PF,79.5,83.75,4.25
Miles Bridges,CHA,SF,77.25,81.5,4.25
Bub Carrington,WAS,SG,75.75,80.0,4.25
Andre Jackson Jr.,MIL,SF,77.5,81.75,4.25
Jaylin Williams,OKC,C,80.75,85.0,4.25
Jevon Carter,CHI,PG,72.25,76.25,4.0
Jalen McDaniels,,PF,80.25,84.25,4.0
Khris Middleton,WAS,SF,78.75,82.75,4.0
Kris Murray,POR,PF,79.75,83.75,4.0
Jae'Sean Tate,HOU,PF,76.0,80.0,4.0
Jabari Walker,PHI,PF,78.75,82.75,4.0
Markquis Nowell,,PG,68.0,72.0,4.0
Alex Len,,C,83.5,87.5,4.0
Harry Giles III,,C,83.0,87.0,4.0
Grant Williams,CHA,PF,77.75,81.75,4.0
Giannis Antetokounmpo,MIL,PF,83.0,87.0,4.0
Noah Clowney,BKN,PF,82.0,86.0,4.0
Duop Reath,POR,C,81.0,85.0,4.0
Pat Connaughton,CHA,SG,76.0,80.0,4.0
Patrick Williams,CHI,SF,79.0,83.0,4.0
Saddiq Bey,NOP,SF,79.0,83.0,4.0
Trent Forrest,,PG,75.5,79.5,4.0
Darius Garland,CLE,PG,73.0,77.0,4.0
Danté Exum,DAL,SG,77.0,81.0,4.0
CJ McCollum,WAS,SG,74.25,78.25,4.0
Walker Kessler,UTA,C,84.25,88.25,4.0
Wesley Matthews,,SG,76.5,80.5,4.0
Tyler Smith,MIL,PF,81.0,85.0,4.0
Cedi Osman,,SF,79.0,83.0,4.0
Dereon Seabron,,SF,77.0,80.75,4.0
Devin Booker,PHX,SG,76.5,80.25,3.75
Jrue Holiday,POR,PG,75.25,79.0,3.75
Kevin McCullar Jr.,,SF,77.25,81.0,3.75
Keon Johnson,BKN,SG,75.5,79.25,3.75
Dalton Knecht,LAL,SF,77.25,81.0,3.75
Lonzo Ball,CLE,PG,77.25,81.0,3.75
Javon Small,MEM,PG,73.0,76.75,3.75
Dylan Windler,,SF,78.25,82.0,3.75
Quentin Grimes,PHI,SG,76.0,79.75,3.75
LeBron James,LAL,PF,80.5,84.25,3.75
Tidjane Salaün,CHA,PF,81.0,84.75,3.75
Spencer Dinwiddie,CHA,PG,76.5,80.25,3.75
Zach LaVine,SAC,SG,76.5,80.25,3.75
Nick Richards,PHX,C,82.5,86.25,3.75
Cam Christie,LAC,SG,76.5,80.0,3.5
Kentavious Caldwell-Pope,MEM,SG,76.5,80.0,3.5
Furkan Korkmaz,,SG,78.5,82.0,3.5
Bryce McGowens,NOP,SG,77.25,80.75,3.5
Caleb Houstan,,SG,79.5,83.0,3.5
Cam Thomas,BKN,SG,75.0,78.5,3.5
Aleksej Pokusevski,,PF,83.5,87.0,3.5
Kevin Love,UTA,PF,79.75,83.25,3.5
Colby Jones,DET,SG,76.5,80.0,3.5
Kobe Bufkin,ATL,SG,76.25,79.75,3.5
Paolo Banchero,ORL,PF,81.0,84.5,3.5
Jalen Green,PHX,SG,76.0,79.5,3.5
Cory Joseph,,PG,74.0,77.5,3.5
Kristaps Porziņģis,ATL,C,86.5,90.0,3.5
DeMar DeRozan,SAC,SF,77.5,81.0,3.5
Moses Brown,,C,85.25,88.75,3.5
VJ Edgecombe,PHI,SG,76.0,79.5,3.5
Paul George,PHI,SF,79.75,83.25,3.5
Luka Garza,BOS,C,82.0,85.5,3.5
Ja Morant,MEM,PG,74.5,78.0,3.5
Stephon Castle,SAS,SG,77.5,81.0,3.5
Goga Bitadze,ORL,C,82.5,86.0,3.5
Jaime Jaquez Jr.,MIA,SF,78.0,81.5,3.5
Jayson Tatum,BOS,SF,79.5,83.0,3.5
Anthony Gill,WAS,PF,79.5,83.0,3.5
Ben Simmons,,PF,81.0,84.5,3.5
Isaac Okoro,CHI,SF,77.0,80.5,3.5
Nikola Jokić,DEN,C,83.5,87.0,3.5
Malik Beasley,,SG,75.5,79.0,3.5
Jeremy Sochan,SAS,PF,80.5,83.75,3.25
Derik Queen,NOP,C,81.25,84.5,3.25
GG Jackson,MEM,PF,80.25,83.5,3.25
Georges Niang,UTA,PF,78.75,82.0,3.25
John Konchar,MEM,SF,76.75,80.0,3.25
R.J. Hampton,,SG,75.75,79.0,3.25
Delon Wright,,PG,76.25,79.5,3.25
Lamar Stevens,,SF,77.75,81.0,3.25
Klay Thompson,DAL,SG,77.75,81.0,3.25
Killian Hayes,,PG,76.75,80.0,3.25
Vlatko Čančar,DEN,PF,79.75,83.0,3.25
Julian Strawther,DEN,SF,78.0,81.25,3.25
Kyshawn George,WAS,SF,79.0,82.25,3.25
Mark Sears,MIL,PG,70.75,74.0,3.25
Yves Missi,NOP,C,82.75,86.0,3.25
Jordan Poole,NOP,SG,75.5,78.75,3.25
Terrence Shannon Jr.,MIN,SG,77.75,80.75,3.0
Chris Paul,LAC,PG,73.0,76.0,3.0
Craig Porter Jr.,CLE,PG,73.0,76.0,3.0
