PLAYER,TEAM,IsoFreq%,IsoPercentile
Stephen Curry,GSW,8.3,46.4
Stephon Castle,SAS,9.8,36.8
Svi Mykhailiuk,UTA,6.3,28.3
T.J. McConnell,IND,4.9,92.1
Talen Horton-Tucker,CHI,4.8,90
Tari Eason,HOU,2.7,50.7
Taurean Prince,MIL,1.6,0
Terance Mann,LAC,5.1,5
Terry Rozier,MIA,5,21.1
Tidjane Salaün,CHA,2.9,100
Tim Hardaway Jr.,DET,2,5
Tobias Harris,DET,7.1,34.3
Tosan Evbuomwan,BKN,6.5,38.8
Toumani Camara,POR,2.6,76.7
Trae Young,ATL,10.3,33.2
Tre Jones,CHI,5.7,96.8
Tre Mann,CHA,12.4,97.1
Trendon Watford,BKN,8.4,76.7
Trevelin Queen,ORL,5.6,2.9
Trey Murphy III,NOP,6.7,20
Tristan Vukcevic,WAS,3.8,13.5
Tristan da Silva,ORL,2,35.7
Ty Jerome,CLE,5.5,97.9
Tyler Herro,MIA,5.9,46.8
Tyrese Haliburton,IND,9.5,62.9
Tyrese Martin,BKN,2,0.4
Tyrese Maxey,PHI,15.9,47.1
Tyus Jones,PHX,2.6,88.9
Vasilije Micic,CHA,5.2,38.8
Victor Wembanyama,SAS,8.9,17.5
Wendell Carter Jr.,ORL,2.6,25.4
Zaccharie Risacher,ATL,1.2,7.2
Zach LaVine,CHI,16.6,92.9
Zach LaVine,SAC,13.4,58.2
Zion Williamson,NOP,23.7,51.1
