player_name,height_inches,weight_lbs,wingspan_in
Colin Castleton,82,250.0,87.5
Julian Champagnie,79,217.0,82.0
Cam Christie,77,190.0,80.0
Max Christie,77,190.0,80.75
Josh Christopher,76,215.0,81.25
Sidy Cissoko,78,220.0,81.75
Jaylen Clark,77,205.0,81.0
Brandon Clarke,80,215.0,80.25
Jordan Clarkson,77,194.0,80.0
Nic Claxton,83,215.0,86.5
Donovan Clingan,86,280.0,90.75
Noah Clowney,82,210.0,86.0
Amir Coffey,79,210.0,79.25
Isaiah Collier,76,210.0,76.75
John Collins,81,226.0,83.25
Zach Collins,83,250.0,85.0
Mike Conley,73,175.0,77.75
Pat Connaughton,77,209.0,80.0
Bilal Coulibaly,79,195.0,86.5
Jae Crowder,78,235.0,81.25
Cade Cunningham,78,220.0,84.25
Seth Curry,73,185.0,76.0
Stephen Curry,74,185.0,75.5
Pacôme Dadiet,81,210.0,81.0
Dyson Daniels,79,199.0,82.5
Anthony Davis,82,253.0,89.5
Johnny Davis,76,195.0,80.5
JD Davison,73,195.0,78.5
DeMar DeRozan,78,220.0,81.0
Donte DiVincenzo,76,203.0,78.0
Moussa Diabaté,81,210.0,86.5
Gradey Dick,79,200.0,80.75
Ousmane Dieng,81,185.0,84.0
Rob Dillingham,74,175.0,75.0
Spencer Dinwiddie,77,215.0,80.25
Luka Dončić,78,230.0,83.0
Luguentz Dort,76,220.0,80.5
Ayo Dosunmu,77,200.0,82.25
Andre Drummond,83,279.0,90.25
Chris Duarte,77,190.0,79.0
Kris Dunn,75,205.0,81.0
Ryan Dunn,79,216.0,85.5
Kevin Durant,83,240.0,88.75
Jalen Duren,82,250.0,89.0
Tari Eason,80,215.0,86.0
Zach Edey,88,305.0,94.75
Anthony Edwards,76,225.0,81.0
Kessler Edwards,79,203.0,83.25
Keon Ellis,76,175.0,80.5
Joel Embiid,84,280.0,89.0
Drew Eubanks,82,245.0,83.0
Danté Exum,77,214.0,81.0
Bruno Fernando,81,240.0,87.25
Kyle Filipowski,83,250.0,82.5
Dorian Finney-Smith,79,220.0,83.75
Malachi Flynn,73,185.0,75.0
De'Aaron Fox,75,185.0,78.5
Markelle Fultz,76,209.0,81.0
Johnny Furphy,80,200.0,80.0
Daniel Gafford,82,265.0,86.5
Darius Garland,73,192.0,77.0
Luka Garza,82,243.0,85.5
Keyonte George,76,185.0,78.0
Kyshawn George,80,200.0,82.25
Paul George,80,220.0,83.25
Josh Giddey,80,216.0,79.5
Shai Gilgeous-Alexander,78,195.0,83.5
Anthony Gill,79,230.0,83.0
Rudy Gobert,85,258.0,92.5
Aaron Gordon,80,235.0,83.75
Eric Gordon,75,215.0,81.0
Jerami Grant,79,213.0,86.75
Draymond Green,78,230.0,85.25
Jalen Green,76,186.0,79.5
Jeff Green,80,235.0,85.25
Josh Green,77,200.0,81.75
Quentin Grimes,76,210.0,79.75
