player_id,player_name,team,position,portability_score,portability_source,age,mp
1627884,Derrick Jones Jr.,,F,1.1,provided_list,28.0,1873.0
201988,Patty Mills,,G,5.8,provided_list,37.0,321.0
1629020,Jarred Vanderbilt,,F,1.4,provided_list,26.0,581.0
1642261,Dalton Knecht,,F,3.6,provided_list,24.0,1494.0
1629216,Gabe Vincent,,G,5.1,provided_list,29.0,1527.0
1642355,Bronny James,,G,1.1,provided_list,21.0,181.0
1631132,Christian Koloko,,C,3.9,provided_list,25.0,342.0
1629637,Jaxson Hayes,,C-F,4.4,provided_list,25.0,1093.0
1628467,Maxi Kleber,,F,5.5,provided_list,34.0,637.0
1630559,Austin Reaves,,G,8.4,provided_list,27.0,2550.0
1627827,Dorian Finney-Smith,,F,5.8,provided_list,32.0,1818.0
1629003,Shake Milton,,G,5.7,provided_list,29.0,837.0
2544,LeBron James,,F,8.3,provided_list,41.0,2444.0
203458,Alex Len,,C,4.1,provided_list,32.0,380.0
1629060,Rui Hachimura,,F,7.6,provided_list,27.0,1869.0
1630692,Jordan Goodwin,,G,3.1,provided_list,27.0,543.0
1641998,Trey Jemison III,,C,5.0,default_5.0,,
1629029,Luka Dončić,,F-G,9.1,provided_list,26.0,1769.0
202693,Markieff Morris,,F,2.7,provided_list,36.0,165.0
1641815,Isaiah Stevens,,G,5.0,default_5.0,,
1626179,Terry Rozier,,G,1.9,provided_list,31.0,1658.0
1631107,Nikola Jović,,F,9.5,provided_list,22.0,1156.0
1642276,Kel'el Ware,,C,2.1,provided_list,21.0,1422.0
1630528,Josh Christopher,,G,5.0,default_5.0,,
1641796,Pelle Larsson,,G,2.9,provided_list,24.0,782.0
1631170,Jaime Jaquez Jr.,,G,5.4,provided_list,24.0,1368.0
1630696,Dru Smith,,G,8.4,provided_list,28.0,268.0
1628389,Bam Adebayo,,C-F,6.6,provided_list,28.0,2674.0
1629639,Tyler Herro,,G,7.4,provided_list,26.0,2725.0
1642352,Keshad Johnson,,F,5.0,default_5.0,,
202692,Alec Burks,,G,7.5,provided_list,34.0,863.0
203937,Kyle Anderson,,F-G,7.5,provided_list,32.0,1002.0
203952,Andrew Wiggins,,F,3.7,provided_list,30.0,1842.0
1629312,Haywood Highsmith,,F,6.6,provided_list,29.0,1818.0
201567,Kevin Love,,F-C,7.5,provided_list,37.0,251.0
1630558,Davion Mitchell,,G,5.9,provided_list,27.0,2027.0
1629130,Duncan Robinson,,F,9.2,provided_list,31.0,1785.0
203081,Damian Lillard,,G,8.3,provided_list,35.0,2093.0
1630579,Jericho Sims,,C,3.2,provided_list,27.0,632.0
1629645,Kevin Porter Jr.,,G-F,1.7,provided_list,25.0,1482.0
1629018,Gary Trent Jr.,,G,4.8,provided_list,27.0,1893.0
1641753,Chris Livingston,,F,5.0,default_5.0,,
1626171,Bobby Portis,,F,6.5,provided_list,30.0,1244.0
201572,Brook Lopez,,C,7.6,provided_list,37.0,2546.0
