team,player_name,player_id,position,name_key,unnamed:_0,year,player,height,weight,position_bsp,bsparq,nba_pct,bsparq_imputed,bsparq_source
Detroit Pistons,Bobi Klintman,1641752,F,bobi klintman,81,2024,Bobi Klintman,6' 8.75'',212.2,BIG,78.25,7.20%,78.25,measured
Los Angeles Clippers,Bogdan Bogdanović,203992,G,bogdan bogdanovic,,,,,,,,,80.625,imputed
Phoenix Suns,Bol Bol,1629626,C-F,bol bol,,,,,,,,,89.695,imputed
Minnesota Timberwolves,Bones Hyland,1630538,G,bones hyland,,,,,,,,,80.625,imputed
Phoenix Suns,Bradley Beal,203078,G,bradley beal,706,2012,Bradley Beal,6' 3.25'',201.8,WING,88.65,74.50%,88.65,measured
Oklahoma City Thunder,Branden Carlson,1642382,C,branden carlson,,,,,,,,,93.27,imputed
Golden State Warriors,Brandin Podziemski,1641764,G,brandin podziemski,159,2023,Brandin Podziemski,6' 3.75'',203.8,WING,86.22,63.10%,86.22,measured
New Orleans Pelicans,Brandon Boston,1630527,G,brandon boston,,,,,,,,,80.625,imputed
Memphis Grizzlies,Brandon Clarke,1629634,F,brandon clarke,350,2019,Brandon Clarke,6' 7.25'',207.2,WING,92.48,87.80%,92.48,measured
Toronto Raptors,Brandon Ingram,1627742,F,brandon ingram,,,,,,,,,85.83,imputed
Charlotte Hornets,Brandon Miller,1641706,F,brandon miller,,,,,,,,,85.83,imputed
Dallas Mavericks,Brandon Williams,1630314,G,brandon williams,,,,,,,,,80.625,imputed
Golden State Warriors,Braxton Key,1630296,F,braxton key,,,,,,,,,85.83,imputed
Utah Jazz,Brice Sensabaugh,1641729,F,brice sensabaugh,,,,,,,,,85.83,imputed
Los Angeles Lakers,Bronny James,1642355,G,bronny james,83,2024,Bronny James,6' 1.50'',210.4,WING,89.5,77.90%,89.5,measured
Milwaukee Bucks,Brook Lopez,201572,C,brook lopez,897,2008,Brook Lopez,6' 11.25'',258,BIG,93.36,69.20%,93.36,measured
New Orleans Pelicans,Bruce Brown,1628971,G-F,bruce brown,415,2018,Bruce Brown,6' 3.5'',194.6,COMBO G,85.2,75.70%,85.2,measured
Portland Trail Blazers,Bryce McGowens,1631121,G,bryce mcgowens,212,2022,Bryce McGowens,6' 5.25'',181.2,WING,75.29,13.20%,75.29,measured
Washington Wizards,Bub Carrington,1642267,G,bub carrington,,,,,,,,,80.625,imputed
Golden State Warriors,Buddy Hield,1627741,G,buddy hield,,,,,,,,,80.625,imputed
Detroit Pistons,Cade Cunningham,1630595,G,cade cunningham,,,,,,,,,80.625,imputed
Orlando Magic,Caleb Houstan,1631216,G,caleb houstan,,,,,,,,,80.625,imputed
Dallas Mavericks,Caleb Martin,1628997,F,caleb martin,417,2018,Caleb Martin,6' 4.75'',195.8,WING,78.73,25.50%,78.73,measured
Los Angeles Clippers,Cam Christie,1642353,G,cam christie,84,2024,Cam Christie,6' 4.50'',190.4,WING,83.77,50.40%,83.77,measured
Memphis Grizzlies,Cam Spencer,1642285,G,cam spencer,85,2024,Cam Spencer,6' 3.00'',201.8,WING,68.48,2.20%,68.48,measured
Brooklyn Nets,Cam Thomas,1630560,G,cam thomas,,,,,,,,,80.625,imputed
Houston Rockets,Cam Whitmore,1641715,F,cam whitmore,160,2023,Cam Whitmore,6' 5.75'',235,WING,96.44,95.50%,96.44,measured
Brooklyn Nets,Cameron Johnson,1629661,F,cameron johnson,353,2019,Cameron Johnson,6' 7'',205.2,WING,84.54,54.40%,84.54,measured
New York Knicks,Cameron Payne,1626166,G,cameron payne,564,2015,Cameron Payne,6' 0.75'',182.8,PG,76.32,47.70%,76.32,measured
Atlanta Hawks,Caris LeVert,1627747,G,caris levert,,,,,,,,,80.625,imputed
Oklahoma City Thunder,Cason Wallace,1641717,G,cason wallace,161,2023,Cason Wallace,6' 2.50'',195.2,PG,76.66,49.90%,76.66,measured
San Antonio Spurs,Charles Bassey,1629646,C-F,charles bassey,265,2021,Charles Bassey,6'9.25'',230.2,BIG,98.11,86.80%,98.11,measured
Oklahoma City Thunder,Chet Holmgren,1631096,C-F,chet holmgren,,,,,,,,,89.695,imputed
Toronto Raptors,Chris Boucher,1628449,F,chris boucher,,,,,,,,,85.83,imputed
Milwaukee Bucks,Chris Livingston,1641753,F,chris livingston,162,2023,Chris Livingston,6' 6.00'',219.2,WING,89.05,76.10%,89.05,measured
San Antonio Spurs,Chris Paul,101108,G,chris paul,1124,2005,Chris Paul,5' 11.75'',178,PG,78.83,63.30%,78.83,measured
Denver Nuggets,Christian Braun,1631128,G,christian braun,213,2022,Christian Braun,6' 5.50'',209.2,WING,92.15,86.90%,92.15,measured
Los Angeles Lakers,Christian Koloko,1631132,C,christian koloko,214,2022,Christian Koloko,6' 10.75'',221,BIG,83.99,23.60%,83.99,measured
Cleveland Cavaliers,Chuma Okeke,1629643,F,chuma okeke,,,,,,,,,85.83,imputed
