team,player_name,player_id,position,name_key,unnamed:_0,year,player,height,weight,position_bsp,bsparq,nba_pct
Denver Nuggets,Peyton Watson,1631212,G,peyton watson,250.0,2022.0,Peyton Watson,6' 6.75'',203.4,WING,78.97,26.50%
Denver Nuggets,Dario Šarić,203967,F-C,dario saric,,,,,,,,
Denver Nuggets,PJ Hall,1641790,C,pj hall,132.0,2024.0,PJ Hall,6' 8.25'',239.6,BIG,100.14,91.70%
Denver Nuggets,DaRon Holmes II,1641747,F,daron holmes ii,90.0,2024.0,DaRon Holmes II,6' 8.75'',236.2,BIG,87.2,38.20%
Denver Nuggets,DaRon Holmes II,1641747,F,daron holmes ii,165.0,2023.0,DaRon Holmes II,6' 9.00'',220.8,BIG,87.25,38.40%
Denver Nuggets,Nikola Jokić,203999,C,nikola jokic,,,,,,,,
Denver Nuggets,Spencer Jones,1642461,F,spencer jones,,,,,,,,
Denver Nuggets,Zeke Nnaji,1630192,F-C,zeke nnaji,348.0,2020.0,Zeke Nnaji,6'9.25'',246.8,BIG,103.79,96.80%
Denver Nuggets,Trey Alexander,1641725,G,trey alexander,142.0,2024.0,Trey Alexander,6' 3.25'',187.0,WING,71.41,5.10%
Denver Nuggets,Trey Alexander,1641725,G,trey alexander,205.0,2023.0,Trey Alexander,6' 3.25'',184.6,WING,76.3,16.30%
Denver Nuggets,Jalen Pickett,1629618,G,jalen pickett,174.0,2023.0,Jalen Pickett,6' 2.00'',197.8,PG,78.36,60.50%
Denver Nuggets,Jamal Murray,1627750,G,jamal murray,,,,,,,,
Denver Nuggets,Vlatko Čančar,1628427,F,vlatko cancar,,,,,,,,
Denver Nuggets,Aaron Gordon,203932,F,aaron gordon,602.0,2014.0,Aaron Gordon,6' 7.5'',220.1,BIG,93.69,70.60%
Golden State Warriors,Gary Payton II,1627780,G,gary payton ii,526.0,2016.0,Gary Payton II,6' 2'',183.8,PG,79.81,69.00%
Golden State Warriors,Jonathan Kuminga,1630228,F,jonathan kuminga,,,,,,,,
Golden State Warriors,Taran Armstrong,1642379,G,taran armstrong,,,,,,,,
Golden State Warriors,Brandin Podziemski,1641764,G,brandin podziemski,159.0,2023.0,Brandin Podziemski,6' 3.75'',203.8,WING,86.22,63.10%
Golden State Warriors,Moses Moody,1630541,G,moses moody,,,,,,,,
Golden State Warriors,Kevon Looney,1626172,F,kevon looney,,,,,,,,
Golden State Warriors,Buddy Hield,1627741,G,buddy hield,,,,,,,,
Golden State Warriors,Jimmy Butler III,202710,F,jimmy butler iii,,,,,,,,
Golden State Warriors,Braxton Key,1630296,F,braxton key,,,,,,,,
Golden State Warriors,Gui Santos,1630611,F,gui santos,,,,,,,,
Golden State Warriors,Quinten Post,1642366,C,quinten post,133.0,2024.0,Quinten Post,7' 0.00'',244.4,BIG,80.92,13.20%
