player_name,player_id,athleticism_score,athleticism_source,position
Tyler Smith,1641890,93.77,measured,F
Tyler Smith,1641890,83.57,measured,F
Pat Connaughton,1626192,102.79,measured,G
Giannis Antetokounmpo,203507,,imputed,F
Pete Nance,1631250,,imputed,F
Andre Jackson Jr.,1641748,82.51,measured,G
Donte DiVincenzo,1628978,91.26,measured,G
Terrence Shannon Jr.,1630545,92.61,measured,G-F
Terrence Shannon Jr.,1630545,89.23,measured,G-F
Jaden McDaniels,1630183,,imputed,F
Rob Dillingham,1642265,,imputed,G
Anthony Edwards,1630162,,imputed,G
Joe Ingles,204060,76.36,measured,F-G
Josh Minott,1631169,,imputed,F
Nickeil Alexander-Walker,1629638,,imputed,G
Mike Conley,201144,83.92,measured,G
Naz Reid,1629675,88.94,measured,C-F
Tristen Newton,1641803,69.94,measured,G
Jesse Edwards,1642399,94.12,measured,C
Jaylen Clark,1641740,,imputed,G
Rudy Gobert,203497,81.6,measured,C
Julius Randle,203944,94.81,measured,F-C
Leonard Miller,1631159,90.1,measured,F
Leonard Miller,1631159,85.32,measured,F
Luka Garza,1630568,80.55,measured,C
Bones Hyland,1630538,,imputed,G
Dariq Whitehead,1641727,,imputed,G-F
D'Angelo Russell,1626156,,imputed,G
Cameron Johnson,1629661,84.54,measured,F
Reece Beekman,1641736,80.96,measured,G
Reece Beekman,1641736,80.12,measured,G
Ziaire Williams,1630533,85.88,measured,F
Trendon Watford,1630570,88.73,measured,G-F
Tyson Etienne,1630623,,imputed,G
Tosan Evbuomwan,1641787,,imputed,F
Tyrese Martin,1631213,,imputed,F
De'Anthony Melton,1629001,,imputed,G
Day'Ron Sharpe,1630549,,imputed,C
Noah Clowney,1641730,,imputed,F-C
Jalen Wilson,1630592,94.72,measured,F
Cam Thomas,1630560,,imputed,G
Drew Timme,1631166,85.5,measured,F
Drew Timme,1631166,81.28,measured,F
Maxwell Lewis,1641721,89.37,measured,F
Nic Claxton,1629651,,imputed,C
Keon Johnson,1630553,98.48,measured,G
P.J. Tucker,200782,,imputed,F
Delon Wright,1626153,75.33,measured,G
MarJon Beauchamp,1630699,,imputed,F
Cameron Payne,1626166,76.32,measured,G
Miles McBride,1630540,82.56,measured,G
Josh Hart,1628404,79.66,measured,G
Josh Hart,1628404,82.15,measured,G
Pacôme Dadiet,1642359,85.07,measured,F
Precious Achiuwa,1630173,,imputed,F
OG Anunoby,1628384,,imputed,F-G
Kevin McCullar Jr.,1641755,,imputed,G
Jalen Brunson,1628973,79.59,measured,G
Tyler Kolek,1642278,75.1,measured,G
Mitchell Robinson,1629011,,imputed,C-F
Mikal Bridges,1628969,,imputed,G-F
Anton Watson,1641817,,imputed,F
Karl-Anthony Towns,1626157,,imputed,C-F
Landry Shamet,1629013,80.41,measured,G
Ariel Hukporti,1630574,82.63,measured,C
Anthony Black,1641710,89.32,measured,G
